5S_rRNA	RF00001	5S ribosomal RNA
snopsi28S-2876	RF00541	Small nucleolar RNA psi28S-2876
snopsi28S-1192	RF00542	Small nucleolar RNA psi28S-1192
snopsi18S-1377	RF00543	Small nucleolar RNA psi18S-1377
snopsi28S-3327	RF00544	Small nucleolar RNA psi28S-3327
snopsi18S-841	RF00545	Small nucleolar RNA psi18S-841/snoR66
snopsi28S-3316	RF00546	Small nucleolar RNA psi28S-3316
IRES_TrkB	RF00547	TrkB IRES
U11	RF00548	U11 spliceosomal RNA
IRES_c-sis	RF00549	c-sis internal ribosome entry site (IRES)
HepE_CRE	RF00550	Hepatitis E virus cis-reactive element
bicoid_3	RF00551	Bicoid 3'-UTR regulatory element
rncO	RF00552	rncO
SCARNA1	RF00553	Small Cajal body specific RNA 1
SNORA48	RF00554	Small nucleolar RNA SNORA48
L13_leader	RF00555	Ribosomal protein L13 leader
L19_leader	RF00556	Ribosomal protein L19 leader
L10_leader	RF00557	Ribosomal protein L10 leader
L20_leader	RF00558	Ribosomal protein L20 leader
L21_leader	RF00559	Ribosomal protein L21 leader
SNORA17	RF00560	Small nucleolar RNA SNORA17
SNORA40	RF00561	Small nucleolar RNA SNORA40
SNORA49	RF00562	Small nucleolar RNA SNORA49
SNORA53	RF00563	Small nucleolar RNA SNORA53
SCARNA11	RF00564	Small Cajal body specific RNA 11
SCARNA3	RF00565	Small Cajal body specific RNA 3
SNORA35	RF00566	Small nucleolar RNA SNORA35
SNORD17	RF00567	Small nucleolar RNA SNORD17
SNORA26	RF00568	Small nucleolar RNA SNORA26
SNORD19	RF00569	Small nucleolar RNA SNORD19
SNORD64	RF00570	Small Nucleolar RNA SNORD64
SNORD65	RF00571	Small nucleolar RNA SNORD65
SNORD66	RF00572	Small nucleolar RNA SNORD66
SNORD67	RF00573	Small nucleolar RNA SNORD67
SNORD69	RF00574	Small nucleolar RNA SNORD69
SNORD70	RF00575	Small nucleolar RNA SNORD70
SNORD71	RF00576	Small nucleolar RNA SNORD71
SNORD72	RF00577	Small nucleolar RNA SNORD72
SNORD89	RF00578	Small nucleolar RNA SNORD89
SNORD90	RF00579	Small nucleolar RNA SNORD90
SNORD91	RF00580	Small nucleolar RNA SNORD91 family
SNORD12	RF00581	Small nucleolar SNORD12/SNORD106
SCARNA14	RF00582	Small Cajal body specific RNA 14
SNORD105	RF00584	Small nucleolar RNA SNORD105
SNORA12	RF00586	Small nucleolar RNA SNORA12
SNORD41	RF00588	Small nucleolar RNA SNORD41
SNORD77	RF00591	Small nucleolar RNA SNORD77
SNORD78	RF00592	Small nucleolar RNA SNORD78
snoU83B	RF00593	Small nucleolar RNA U83B
SNORD86	RF00594	Small nucleolar RNA SNORD86
SNORA76	RF00598	Small nucleolar RNA SNORA76
SNORA77	RF00599	Small nucleolar RNA SNORA77
SNORA79	RF00600	Small nucleolar RNA SNORA79
SCARNA20	RF00601	Small Cajal body specific RNA 20
SCARNA21	RF00602	Small Cajal body specific RNA 21
SNORD23	RF00603	Small nucleolar RNA SNORD23
SNORD88	RF00604	Small nucleolar RNA SNORD88
SNORD93	RF00606	Small nucleolar RNA SNORD93
SNORD98	RF00607	Small nucleolar RNA SNORD98
SNORD99	RF00608	Small nucleolar RNA SNORD99
SNORD100	RF00609	Small nucleolar RNA SNORD100
SNORD110	RF00610	Small nucleolar RNA SNORD110
SNORD111	RF00611	Small nucleolar RNA SNORD111
SNORD75	RF00612	Small nucleolar RNA SNORD75
SNORD94	RF00613	Small nucleolar RNA SNORD94
SNORA11	RF00614	Small nucleolar RNA SNORA11
LhrA	RF00615	Listeria Hfq binding LhrA
LhrC	RF00616	Listeria LhrC
cHP	RF00617	flavivirus capsid hairpin cHP
U4atac	RF00618	U4atac minor spliceosomal RNA
U6atac	RF00619	U6atac minor spliceosomal RNA
HCV_ARF_SL	RF00620	Hepatitis C alternative reading frame stem-loop
CoTC_ribozyme	RF00621	Beta-globin co-transcriptional cleavage ribozyme
CPEB3_ribozyme	RF00622	Mammalian CPEB3 ribozyme
P1	RF00623	Pseudomonas sRNA P1
P9	RF00624	Pseudomonas sRNA P9
P11	RF00625	Pseudomonas sRNA P11
Gurken	RF00626	Gurken localisation signal
P15	RF00627	Pseudomonas sRNA P15
RgsA	RF00628	RgsA sRNA
P24	RF00629	Pseudomonas sRNA P24
P26	RF00630	Pseudomonas sRNA P26
sxy	RF00632	sxy 5' UTR element
SAM-IV	RF00634	S-adenosyl methionine (SAM) riboswitch,
HAR1A	RF00635	Highly accelerated region 1A/1B
NRON	RF00636	ncRNA Repressor of NFAT (nuclear factor of activated T cells)
mir-276	RF00637	microRNA mir-276
MIR159	RF00638	microRNA MIR159
mir-515	RF00639	microRNA mir-515
MIR167_1	RF00640	microRNA MIR167_1
mir-154	RF00641	microRNA mir-154
mir-23	RF00642	microRNA mir-23
MIR171_1	RF00643	microRNA MIR171_1
mir-27	RF00644	microRNA mir-27
MIR169_2	RF00645	microRNA MIR169_2
mir-204	RF00646	microRNA mir-204
MIR164	RF00647	microRNA MIR164
MIR396	RF00648	microRNA MIR396
mir-128	RF00649	microRNA mir-128
mir-153	RF00650	microRNA mir-153
mir-221	RF00651	microRNA mir-221
MIR478	RF00652	microRNA MIR478
mir-22	RF00653	microRNA mir-22
mir-216	RF00654	microRNA mir-216
mir-28	RF00655	microRNA mir-28
mir-205	RF00656	microRNA mir-205
mir-184	RF00657	microRNA mir-184
mir-21	RF00658	microRNA mir-21
mir-365	RF00659	microRNA mir-365
mir-214	RF00660	microRNA mir-214
mir-31	RF00661	microRNA mir-31
mir-132	RF00662	microRNA mir-132
mir-183	RF00663	microRNA mir-183
mir-223	RF00664	microRNA mir-223
mir-290	RF00665	microRNA mir-290
mir-32	RF00666	microRNA mir-32
mir-33	RF00667	microRNA mir-33
mir-302	RF00668	microRNA mir-302
mir-96	RF00669	microRNA mir-96
mir-105	RF00670	microRNA mir-105
mir-138	RF00671	microRNA mir-138
mir-190	RF00672	microRNA mir-190
mir-217	RF00673	microRNA mir-217
mir-187	RF00674	microRNA mir-187
mir-145	RF00675	microRNA mir-145
mir-127	RF00676	microRNA mir-127
MIR168	RF00677	microRNA MIR168
mir-140	RF00678	microRNA mir-140
mir-210	RF00679	microRNA mir-210
mir-224	RF00680	microRNA mir-224
mir-198	RF00681	microRNA mir-198
mir-144	RF00682	microRNA mir-144
mir-143	RF00683	microRNA mir-143
mir-122	RF00684	mir-122 microRNA precursor
mir-36	RF00685	microRNA mir-36
mir-338	RF00686	microRNA mir-338
mir-136	RF00687	microRNA mir-136
MIR394	RF00688	microRNA MIR394
MIR390	RF00689	microRNA MIR390
MIR408	RF00690	microRNA MIR408
mir-146	RF00691	microRNA mir-146
MIR171_2	RF00692	microRNA MIR171_2
mir-147	RF00693	microRNA mir-147
mir-137	RF00694	microRNA mir-137
MIR398	RF00695	microRNA MIR398
mir-203	RF00696	microRNA mir-203
mir-186	RF00697	microRNA mir-186
mir-489	RF00698	microRNA mir-489
mir-134	RF00699	microRNA mir-134
mir-375	RF00700	microRNA mir-375
mir-126	RF00701	microRNA mir-126
mir-182	RF00702	microRNA mir-182
mir-139	RF00703	microRNA mir-139
MIR397	RF00704	microRNA MIR397
mir-202	RF00705	microRNA mir-202
mir-263	RF00706	microRNA mir-263
mir-197	RF00707	microRNA mir-197
mir-450	RF00708	microRNA mir-450
mir-455	RF00709	microRNA mir-455
mir-44	RF00710	microRNA mir-44
mir-449	RF00711	microRNA mir-449
mir-460	RF00712	microRNA mir-460
mir-239	RF00713	microRNA mir-239
MIR535	RF00714	microRNA MIR535
mir-383	RF00715	microRNA mir-383
mir-3	RF00716	microRNA mir-3
mir-315	RF00717	microRNA mir-315
mir-431	RF00718	microRNA mir-431
mir-326	RF00719	microRNA mir-326
mir-317	RF00720	microRNA mir-317
MIR475	RF00721	microRNA MIR475
mir-451	RF00722	microRNA mir-451
mir-448	RF00723	microRNA mir-448
mir-282	RF00724	microRNA mir-282
mir-iab-4	RF00725	microRNA mir-iab-4
mir-87	RF00726	microRNA mir-87
bantam	RF00727	microRNA bantam
mir-81	RF00728	microRNA mir-81
mir-278	RF00729	microRNA mir-278
mir-277	RF00730	microRNA mir-277
mir-155	RF00731	microRNA mir-155
mir-305	RF00732	microRNA mir-305
mir-296	RF00733	microRNA mir-296
mir-52	RF00734	microRNA mir-52
mir-367	RF00735	microRNA mir-367
mir-320	RF00736	microRNA mir-320
mir-322	RF00737	microRNA mir-322
MIR476	RF00739	microRNA MIR476
mir-370	RF00740	microRNA mir-370
mir-378	RF00741	microRNA mir-378
MIR162_2	RF00742	microRNA MIR162_2
mir-308	RF00743	microRNA mir-308
mir-361	RF00744	microRNA mir-361
mir-499	RF00745	microRNA mir-499
mir-454	RF00746	microRNA mir-454
mir-283	RF00747	microRNA mir-283
mir-433	RF00748	microRNA mir-433
mir-208	RF00749	microRNA mir-208
mir-458	RF00750	microRNA mir-458
mir-12	RF00751	microRNA mir-12
mir-14	RF00752	microRNA mir-14
mir-503	RF00753	microRNA mir-503
mir-279	RF00754	microRNA mir-279
mir-542	RF00755	microRNA mir-542
mir-299	RF00756	microRNA mir-299
mir-275	RF00757	microRNA mir-275
mir-346	RF00758	microRNA mir-346
mir-342	RF00760	microRNA mir-342
mir-340	RF00761	microRNA mir-340
mir-412	RF00762	microRNA mir-412
mir-339	RF00763	microRNA mir-339
mir-191	RF00764	microRNA mir-191
mir-337	RF00765	microRNA mir-337
mir-335	RF00766	microRNA mir-335
mir-150	RF00767	microRNA mir-150
MIR405	RF00768	microRNA MIR405
mir-331	RF00769	microRNA mir-331
mir-330	RF00770	microRNA mir-330
mir-185	RF00771	microRNA mir-185
mir-328	RF00772	microRNA mir-328
mir-298	RF00773	microRNA mir-298
mir-360	RF00774	microRNA mir-360
mir-432	RF00775	microRNA mir-432
mir-540	RF00776	microRNA mir-540
mir-541	RF00777	microRNA mir-541
MIR473	RF00778	microRNA MIR473
MIR474	RF00779	microRNA MIR474
MIR477	RF00780	microRNA MIR477
mir-505	RF00781	microRNA mir-505
MIR480	RF00782	microRNA MIR480
mir-484	RF00783	microRNA mir-484
mir-486	RF00784	microRNA mir-486
mir-90	RF00785	microRNA mir-90
mir-289	RF00786	microRNA mir-289
mir-288	RF00787	microRNA mir-288
mir-287	RF00788	microRNA mir-287
mir-286	RF00789	microRNA mir-286
mir-358	RF00790	microRNA mir-358
mir-357	RF00791	microRNA mir-357
mir-490	RF00792	microRNA mir-490
mir-497	RF00793	microRNA mir-497
mir-42	RF00794	microRNA mir-42
mir-43	RF00795	microRNA mir-43
mir-48	RF00796	microRNA mir-48
mir-355	RF00797	microRNA mir-355
mir-49	RF00798	microRNA mir-49
mir-354	RF00799	microRNA mir-354
mir-353	RF00800	microRNA mir-353
mir-280	RF00801	microRNA mir-280
mir-207	RF00802	microRNA mir-207
mir-425	RF00803	microRNA mir-425
mir-240	RF00804	microRNA mir-240
mir-351	RF00805	microRNA mir-351
mir-350	RF00806	microRNA mir-350
mir-314	RF00807	microRNA mir-314
mir-86	RF00808	microRNA mir-86
mir-241	RF00809	microRNA mir-241
mir-85	RF00810	microRNA mir-85
mir-84	RF00811	microRNA mir-84
mir-83	RF00812	microRNA mir-83
mir-11	RF00813	microRNA mir-11
mir-316	RF00814	microRNA mir-316
mir-244	RF00815	microRNA mir-244
mir-245	RF00816	microRNA mir-245
mir-80	RF00817	microRNA mir-80
mir-318	RF00818	microRNA mir-318
mir-246	RF00819	microRNA mir-246
mir-248	RF00820	microRNA mir-248
mir-249	RF00821	microRNA mir-249
mir-274	RF00822	microRNA mir-274
lsy-6	RF00823	microRNA lsy-6
mir-50	RF00824	microRNA mir-50
mir-344	RF00825	microRNA mir-344
mir-55	RF00826	microRNA mir-55
mir-77	RF00827	microRNA mir-77
mir-75	RF00828	microRNA mir-75
mir-149	RF00829	microRNA mir-149
mir-74	RF00830	microRNA mir-74
mir-73	RF00831	microRNA mir-73
mir-71	RF00832	microRNA mir-71
mir-70	RF00833	microRNA mir-70
mir-268	RF00834	microRNA mir-268
mir-58	RF00835	microRNA mir-58
mir-250	RF00836	microRNA mir-250
mir-251	RF00837	microRNA mir-251
mir-252	RF00838	microRNA mir-252
mir-452	RF00839	microRNA mir-452
mir-374	RF00840	microRNA mir-374
mir-384	RF00841	microRNA mir-384
MIR403	RF00842	microRNA MIR403
mir-228	RF00843	microRNA mir-228
mir-67	RF00844	microRNA mir-67
MIR158	RF00845	microRNA MIR158
mir-64	RF00846	microRNA mir-64
mir-62	RF00847	microRNA mir-62
mir-61	RF00848	microRNA mir-61
mir-60	RF00849	microRNA mir-60
mir-259	RF00850	microRNA mir-259
mir-230	RF00851	microRNA mir-230
mir-231	RF00852	microRNA mir-231
mir-304	RF00853	microRNA mir-304
mir-5	RF00854	microRNA mir-5
mir-254	RF00855	microRNA mir-254
mir-232	RF00856	microRNA mir-232
mir-233	RF00857	microRNA mir-233
mir-306	RF00858	microRNA mir-306
mir-234	RF00859	microRNA mir-234
mir-488	RF00861	microRNA mir-488
mir-491	RF00862	microRNA mir-491
mir-BART17	RF00863	microRNA mir-BART17
mir-BART20	RF00864	microRNA mir-BART20
MIR169_5	RF00865	microRNA MIR169_5
mir-BART3	RF00866	microRNA mir-BART3
mir-BART5	RF00867	microRNA mir-BART5
mir-BART15	RF00868	microRNA mir-BART15
mir-BART7	RF00869	microRNA mir-BART7
mir-423	RF00870	microRNA mir-423
mir-652	RF00872	microRNA mir-652
mir-550	RF00873	microRNA mir-550
mir-BART12	RF00874	microRNA mir-BART12
mir-692	RF00875	microRNA mir-692
mir-684	RF00876	microRNA mir-684
mir-592	RF00877	microRNA mir-592
mir-456	RF00878	microRNA mir-456
mir-615	RF00879	microRNA mir-615
MIR811	RF00882	microRNA MIR811
MIR820	RF00883	microRNA MIR820
MIR815	RF00884	microRNA MIR815
MIR821	RF00885	microRNA MIR821
MIR807	RF00886	microRNA MIR807
mir-802	RF00887	microRNA mir-802
mir-770	RF00888	microRNA mir-770
mir-668	RF00890	microRNA mir-668
mir-671	RF00891	microRNA mir-671
mir-551	RF00892	microRNA mir-551
MIR854	RF00893	microRNA MIR854
mir-790	RF00894	microRNA mir-790
mir-786	RF00895	microRNA mir-786
mir-787	RF00896	microRNA mir-787
mir-675	RF00897	microRNA mir-675
mir-242	RF00898	microRNA mir-242
mir-235	RF00899	microRNA mir-235
mir-255	RF00900	microRNA mir-255
MIR845_1	RF00901	microRNA MIR845_1
mir-791	RF00902	microRNA mir-791
mir-359	RF00903	microRNA mir-359
mir-392	RF00904	microRNA mir-392
mir-789	RF00905	microRNA mir-789
MIR1122	RF00906	microRNA MIR1122
mir-941	RF00907	microRNA mir-941
MIR529	RF00908	microRNA MIR529
mir-883	RF00909	microRNA mir-883
mir-873	RF00910	microRNA mir-873
mir-672	RF00911	microRNA mir-672
mir-877	RF00912	microRNA mir-877
mir-674	RF00914	microRNA mir-674
mir-760	RF00915	microRNA mir-760
mir-708	RF00917	microRNA mir-708
mir-872	RF00918	microRNA mir-872
mir-874	RF00919	microRNA mir-874
MIR444	RF00920	microRNA MIR444
mir-665	RF00921	microRNA mir-665
mir-673	RF00922	microRNA mir-673
MIR1027	RF00925	microRNA MIR1027
MIR1151	RF00926	microRNA MIR1151
mir-582	RF00927	microRNA mir-582
mir-590	RF00928	microRNA mir-590
mir-574	RF00929	microRNA mir-574
mir-879	RF00931	microRNA mir-879
mir-471	RF00932	microRNA mir-471
mir-875	RF00933	microRNA mir-875
mir-463	RF00934	microRNA mir-463
mir-876	RF00935	microRNA mir-876
mir-744	RF00936	microRNA mir-744
mir-653	RF00937	microRNA mir-653
mir-504	RF00939	microRNA mir-504
mir-327	RF00940	microRNA mir-327
mir-434	RF00941	microRNA mir-434
mir-1224	RF00942	microRNA mir-1224
MIR824	RF00943	microRNA MIR824
mir-1226	RF00945	microRNA mir-1226
mir-1225	RF00946	microRNA mir-1225
mir-929	RF00947	microRNA mir-929
mir-996	RF00948	microRNA mir-996
mir-983	RF00949	microRNA mir-983
mir-927	RF00950	microRNA mir-927
mir-1302	RF00951	microRNA mir-1302
mir-650	RF00952	microRNA mir-650
mir-1497	RF00953	microRNA mir-1497
MIR1446	RF00954	microRNA MIR1446
mir-1829	RF00955	microRNA mir-1829
MIR1444	RF00956	microRNA MIR1444
mir-663	RF00957	microRNA mir-663
mir-498	RF00958	microRNA mir-498
mir-612	RF00959	microRNA mir-612
mir-661	RF00960	microRNA mir-661
mir-581	RF00961	microRNA mir-581
mir-586	RF00962	microRNA mir-586
mir-642	RF00963	microRNA mir-642
mir-938	RF00964	microRNA mir-938
mir-549	RF00965	microRNA mir-549
mir-676	RF00966	microRNA mir-676
mir-281	RF00967	microRNA mir-281
mir-626	RF00968	microRNA mir-626
mir-556	RF00969	microRNA mir-556
mir-648	RF00970	microRNA mir-648
mir-578	RF00971	microRNA mir-578
mir-651	RF00972	microRNA mir-651
mir-597	RF00973	microRNA mir-597
mir-607	RF00974	microRNA mir-607
MIR845_2	RF00975	microRNA MIR845_2
mir-583	RF00976	microRNA mir-583
mir-600	RF00977	microRNA mir-600
mir-638	RF00978	microRNA mir-638
mir-553	RF00979	microRNA mir-553
mir-643	RF00980	microRNA mir-643
mir-939	RF00981	microRNA mir-939
mir-662	RF00983	microRNA mir-662
mir-576	RF00984	microRNA mir-576
mir-640	RF00985	microRNA mir-640
mir-920	RF00986	microRNA mir-920
mir-589	RF00987	microRNA mir-589
mir-657	RF00988	microRNA mir-657
mir-492	RF00989	microRNA mir-492
mir-552	RF00990	microRNA mir-552
mir-599	RF00991	microRNA mir-599
mir-593	RF00992	microRNA mir-593
mir-1473	RF00993	microRNA mir-1473
mir-1255	RF00994	microRNA mir-1255
mir-616	RF00995	microRNA mir-616
mir-631	RF00996	microRNA mir-631
mir-942	RF00997	microRNA mir-942
mir-562	RF00998	microRNA mir-562
mir-924	RF00999	microRNA mir-924
mir-580	RF01000	microRNA mir-580
mir-609	RF01001	microRNA mir-609
mir-936	RF01002	microRNA mir-936
mir-563	RF01003	microRNA mir-563
mir-557	RF01004	microRNA mir-557
MIR530	RF01005	microRNA MIR530
mir-601	RF01006	microRNA mir-601
mir-624	RF01007	microRNA mir-624
mir-636	RF01008	microRNA mir-636
mir-M7	RF01009	microRNA mir-M7
mir-632	RF01010	microRNA mir-632
mir-605	RF01011	microRNA mir-605
mir-628	RF01012	microRNA mir-628
mir-577	RF01013	microRNA mir-577
mir-1306	RF01014	microRNA mir-1306
mir-885	RF01015	microRNA mir-885
mir-584	RF01016	microRNA mir-584
mir-569	RF01018	microRNA mir-569
mir-922	RF01019	microRNA mir-922
mir-572	RF01020	microRNA mir-572
mir-558	RF01021	microRNA mir-558
mir-611	RF01022	microRNA mir-611
mir-940	RF01023	microRNA mir-940
mir-944	RF01024	microRNA mir-944
mir-934	RF01025	microRNA mir-934
MIR828	RF01026	microRNA MIR828
mir-765	RF01027	microRNA mir-765
mir-633	RF01028	microRNA mir-633
mir-649	RF01029	microRNA mir-649
mir-422	RF01030	microRNA mir-422
mir-639	RF01031	microRNA mir-639
mir-554	RF01032	microRNA mir-554
mir-767	RF01033	microRNA mir-767
mir-618	RF01034	microRNA mir-618
mir-887	RF01035	microRNA mir-887
mir-567	RF01036	microRNA mir-567
mir-644	RF01037	microRNA mir-644
mir-1307	RF01038	microRNA mir-1307
mir-937	RF01039	microRNA mir-937
mir-573	RF01040	microRNA mir-573
mir-604	RF01041	microRNA mir-604
mir-891	RF01042	microRNA mir-891
MIR1023	RF01043	microRNA MIR1023
mir-345	RF01044	microRNA mir-345
mir-544	RF01045	microRNA mir-544
WLE3	RF01046	Wingless localisation element 3 (WLE3)
HBV_epsilon	RF01047	HBV RNA encapsidation signal epsilon
Sacc_telomerase	RF01050	Saccharomyces telomerase
c-di-GMP-I	RF01051	Cyclic di-GMP-I riboswitch
Arthropod_7SK	RF01052	Arthropod 7SK RNA
Deinococcus_Y_RNA	RF01053	Deinococcus radiodurans Y RNA
preQ1-II	RF01054	preQ1-II (pre queuosine) riboswitch
MOCO_RNA_motif	RF01055	Moco (molybdenum cofactor) riboswitch
Mg_sensor	RF01056	Magnesium Sensor
SAH_riboswitch	RF01057	S-adenosyl-L-homocysteine riboswitch
mir-598	RF01059	microRNA mir-598
mir-548	RF01061	microRNA mir-548
mir-253	RF01064	microRNA mir-253
23S-methyl	RF01065	23S methyl RNA motif
6C	RF01066	6C RNA
ATPC	RF01067	ATPC RNA motif
mini-ykkC	RF01068	Guanidine-II riboswitch
purD	RF01069	purD RNA motif
sucA	RF01070	SucA RNA motif
OLE	RF01071	Ornate Large Extremophilic RNA
TMV_UPD-PK3	RF01072	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
GP_knot1	RF01073	Gag/pol translational readthrough site
RF_site1	RF01074	Putative RNA-dependent RNA polymerase ribosomal frameshift site
TLS-PK1	RF01075	Pseudoknot of tRNA-like structure
RF_site2	RF01076	Polymerase ribosomal frameshift site
TLS-PK2	RF01077	Pseudoknot of tRNA-like structure
PK-PYVV	RF01078	3'-terminal pseudoknot in PYVV
RF_site3	RF01079	Putative RNA-dependent RNA polymerase ribosomal frameshift site
UPD-PKib	RF01080	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV1_UPD-PKe	RF01081	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV1_UPD-PKh	RF01082	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
UPD-PK2	RF01083	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
TLS-PK3	RF01084	Pseudoknot of tRNA-like structure
TLS-PK4	RF01085	Pseudoknot of tRNA-like structure
PK-repZ	RF01087	Pseudoknot of the regulatory region of the repZ gene
TLS-PK5	RF01088	Pseudoknot of tRNA-like structure
PK-repBA	RF01089	Pseudoknot of the regulatory region of the repBA gene
RF_site4	RF01090	Edr gene ribosomal frameshift signal
PK-SPCSV	RF01091	3'-terminal pseudoknot in SPCSV
GP_knot2	RF01092	Gag/pol translational readthrough site
RF_site5	RF01093	Ma3 gene ribosomal frameshift signal
RF_site6	RF01094	Polymerase ribosomal frameshift site
PK-CuYV_BPYV	RF01095	3'-terminal pseudoknot of CuYV/BPYV
PK-HAV	RF01096	HepA virus 3'-terminal pseudoknot
RF_site8	RF01097	Gag/pro ribosomal frameshift site
RF_site9	RF01098	Gag/pro ribosomal frameshift site
PK-IAV	RF01099	Pseudoknot of influenza A virus gene
PK-BYV	RF01100	3'-terminal pseudoknot in BYV
TLS-PK6	RF01101	Pseudoknot of tRNA-like structure
PK1-TEV_CVMV	RF01102	5'-leader pseudoknot of TEV/CVMV
UPD-PKc	RF01103	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV2_UPD-PKb	RF01104	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV2_UPD-PKl	RF01105	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV1_UPD-PKb	RF01106	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBRMV1_UPD-PKf	RF01107	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
BMV3_UPD-PK1	RF01108	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBRMV1_UPD-PKd	RF01109	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
SBWMV2_UPD-PKk	RF01111	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
BMV3_UPD-PK3	RF01113	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
TMV_UPD-PK1	RF01114	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Yfr1	RF01116	Cyanobacterial functional RNA 1
ciona-mir-92	RF01117	Ciona microRNA mir-92
sR32	RF01119	Small nucleolar RNA sR32
sR33	RF01120	Small nucleolar RNA sR33
sR38	RF01121	Small nucleolar RNA sR38
sR39	RF01122	Small nucleolar RNA sR39
sR35	RF01123	Small nucleolar RNA sR35
sR36	RF01124	Small nucleolar RNA sR36
sR4	RF01125	Small nucleolar RNA sR4
sR41	RF01126	Small nucleolar RNA sR41
sR42	RF01127	Small nucleolar RNA sR42
sR43	RF01128	Small nucleolar RNA sR42
sR44	RF01129	Small nucleolar RNA sR44
sR46	RF01130	Small nucleolar RNA sR46
sR47	RF01131	Small nucleolar RNA sR47
sR48	RF01132	Small nucleolar RNA sR48
sR3	RF01133	Small nucleolar RNA sR3
sR30	RF01134	Small nucleolar RNA sR30
sR24	RF01135	Small nucleolar RNA sR24
sR28	RF01136	Small nucleolar RNA sR28
sR21	RF01137	Small nucleolar RNA sR21
sR23	RF01138	Small nucleolar RNA sR23
sR2	RF01139	Small nucleolar RNA sR2
sR20	RF01140	Small nucleolar RNA sR20
sR18	RF01141	Small nucleolar RNA sR18
sR19	RF01142	Small nucleolar RNA sR19
sR16	RF01143	Small nucleolar RNA sR16
sR17	RF01144	Small nucleolar RNA sR17
sR14	RF01145	Small nucleolar RNA sR14
sR15	RF01146	Small nucleolar RNA sR15
sR12	RF01147	Small nucleolar RNA sR12
sR10	RF01149	Small nucleolar RNA sR10
sR11	RF01150	Small nucleolar RNA sR11
snoU82P	RF01151	Small nucleolar RNA U82P
sR1	RF01152	Small nucleolar RNA sR1
sn3060	RF01153	Small nucleolar RNA sn3060
snoR101	RF01155	Small nucleolar RNA snoR101
SNORD123	RF01156	Small nucleolar RNA SNORD123
sn1185	RF01157	Small nucleolar RNA sn1185
SNORD108	RF01158	Small nucleolar RNA SNORD108
snoU18	RF01159	Small nucleolar RNA U18
sn2841	RF01160	Small nucleolar RNA sn2841
SNORD5	RF01161	Small nucleolar RNA SNORD5
sn668	RF01162	Small nucleolar RNA sn668
snoR64a	RF01163	Small nucleolar RNA snoR64a
SNORD107	RF01164	Small nucleolar RNA SNORD107
sn2317	RF01165	Small nucleolar RNA sn2317
sn3071	RF01166	Small nucleolar RNA sn3071
sn2429	RF01167	Small nucleolar RNA sn2429
SNORD126	RF01168	Small nucleolar RNA SNORD126
SNORD112	RF01169	Small nucleolar RNA SNORD112
snoU61	RF01170	Small nucleolar RNA U61
snoR4	RF01171	Small nucleolar RNA snoR4
sn2343	RF01172	Small nucleolar RNA sn2343
snoU105B	RF01173	Small nucleolar RNA U105B
snoU43	RF01174	Small nucleolar RNA U43
snoU83D	RF01175	Small nucleolar RNA U83
snR78	RF01176	Small nucleolar RNA snR78
snR67	RF01177	Small nucleolar RNA snR67
snoR77Y	RF01178	Small nucleolar RNA snoR77Y
snoU83	RF01179	Small nucleolar RNA U83
snoR110	RF01180	Small nucleolar RNA snoR110
snR77	RF01181	Small nucleolar RNA snR77
SNORD11	RF01182	Small nucleolar RNA SNORD11
SNORD19B	RF01183	Small nucleolar RNA SNORD19B
snR79	RF01184	Small nucleolar RNA snR79
snR75	RF01185	Small nucleolar RNA snR75
SNORD127	RF01186	Small nucleolar RNA SNORD127
snR56	RF01188	Small nucleolar RNA snR56
sn1502	RF01189	Small nucleolar RNA sn1502
snR50	RF01190	Small nucleolar RNA snR50
SNORD121A	RF01191	Small nucleolar RNA SNORD121A
SNORD11B	RF01192	Small nucleolar RNA SNORD11B
snoR20a	RF01193	Small nucleolar RNA snoR20a
sn2903	RF01194	Small nucleolar RNA sn2903
snR52	RF01195	Small nucleolar RNA snR52
snoZ30a	RF01196	Small nucleolar RNA Z30a
snR39	RF01197	Small nucleolar RNA snR39
snoR69Y	RF01198	Small nucleolar RNA snoR69Y
snR58	RF01199	Small nucleolar RNA snR58
SNORD125	RF01200	Small nucleolar RNA SNORD125
snR40	RF01201	Small nucleolar RNA snR40
sn2991	RF01202	Small nucleolar RNA sn2991
snR47	RF01203	Small nucleolar RNA snR47
